City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Tamandare,BR,-8.7597,-35.1047,77.22,82,100,4.18,overcast clouds
206,Christchurch,NZ,-43.5333,172.6333,61.95,71,75,5.75,broken clouds
207,Saint-Philippe,RE,-21.3585,55.7679,72.21,78,0,2.44,clear sky
208,Hasaki,JP,35.7333,140.8333,61.2,55,100,17.05,overcast clouds
209,Bengkulu,ID,-3.8004,102.2655,81.1,78,91,0.96,overcast clouds
210,Keti Bandar,PK,24.1447,67.4497,81.99,79,0,11.68,clear sky
211,Woodward,US,36.4337,-99.3904,70.83,65,0,20.71,clear sky
212,Ahipara,NZ,-35.1667,173.1667,62.47,76,78,7.05,broken clouds
213,Nizhniy Kuranakh,RU,58.8353,125.4869,30.96,61,100,7.25,light snow
214,Barrow,US,71.2906,-156.7887,8.62,78,100,17.27,light snow
215,Colesberg,ZA,-30.72,25.0972,48.0,37,0,3.49,clear sky
216,Tiksi,RU,71.6872,128.8694,9.73,89,84,1.59,broken clouds
217,Saravan,AM,39.7196,45.6483,49.28,69,41,5.14,scattered clouds
218,Rio Pardo De Minas,BR,-15.6097,-42.5397,62.85,96,0,3.76,clear sky
219,Nishihara,JP,26.1842,127.7558,82.45,80,75,12.66,broken clouds
220,Lewistown,US,40.5992,-77.5714,37.15,79,100,16.11,overcast clouds
221,Alofi,NU,-19.0595,-169.9187,82.29,74,75,16.11,broken clouds
222,Vilcun,CL,-38.65,-72.2333,36.34,96,47,3.29,scattered clouds
223,Ucluelet,CA,48.9329,-125.5528,49.08,75,47,1.01,scattered clouds
224,Malayal,PH,7.208,121.942,82.2,84,100,6.44,heavy intensity rain
225,Dunedin,NZ,-45.8742,170.5036,59.81,54,51,5.99,broken clouds
226,Astorga,BR,-23.2325,-51.6656,68.97,77,100,7.81,overcast clouds
227,Tocopilla,CL,-22.092,-70.1979,65.91,74,30,7.09,scattered clouds
228,Axim,GH,4.8699,-2.2405,79.14,85,100,4.76,light rain
229,Kaeo,NZ,-35.1,173.7833,63.32,92,97,9.06,light rain
230,Aklavik,CA,68.2191,-135.0107,19.72,82,100,9.1,overcast clouds
231,Yerbogachen,RU,61.2767,108.0108,36.25,63,59,3.98,broken clouds
232,Cayenne,GF,4.9333,-52.3333,82.09,1,100,1.99,overcast clouds
233,Mugur-Aksy,RU,50.35,90.5,30.38,50,2,4.41,clear sky
234,Cap Malheureux,MU,-19.9842,57.6142,73.47,82,3,1.01,moderate rain
235,Katangli,RU,51.7102,143.2326,30.6,84,100,30.85,overcast clouds
236,Neyshabur,IR,36.2133,58.7958,66.65,42,100,2.1,overcast clouds
237,Mahon,ES,39.8885,4.2658,55.96,100,0,6.91,clear sky
238,Tilichiki,RU,60.4667,166.1,33.31,100,100,9.57,overcast clouds
239,Chokurdakh,RU,70.6333,147.9167,16.34,90,100,8.25,overcast clouds
240,Altay,CN,47.8667,88.1167,46.58,36,4,4.03,clear sky
241,Enid,US,36.3956,-97.8784,70.09,63,100,20.71,overcast clouds
242,Tezu,IN,27.9167,96.1667,82.18,43,87,1.25,overcast clouds
243,Barcelos,PT,41.5388,-8.6151,54.84,95,2,3.42,clear sky
244,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,12.66,broken clouds
245,Malanje,AO,-9.5402,16.341,62.1,97,84,2.53,broken clouds
246,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,70,75,4.47,light rain
247,Amapa,BR,1.0,-52.0,72.41,99,100,1.63,overcast clouds
248,Bandarbeyla,SO,9.4942,50.8122,80.82,80,96,3.51,overcast clouds
249,Lebu,CL,-37.6167,-73.65,49.33,75,24,0.67,few clouds
250,Ballina,AU,-28.8667,153.5667,78.01,74,75,13.8,broken clouds
251,Udachnyy,RU,66.4167,112.4,28.44,90,76,8.77,broken clouds
252,Zhigansk,RU,66.7697,123.3711,20.93,80,18,11.92,few clouds
253,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,100,100,5.75,overcast clouds
254,Margate,GB,51.3813,1.3862,46.69,73,61,4.0,broken clouds
255,Saint-Joseph,RE,-21.3667,55.6167,71.2,76,0,1.57,clear sky
256,Idrinskoye,RU,54.3708,92.1358,48.58,55,75,3.94,broken clouds
257,Hambantota,LK,6.1241,81.1185,83.23,76,13,5.01,few clouds
258,Lyubech,UA,51.7026,30.6569,38.91,76,10,6.29,clear sky
259,Sorland,NO,67.667,12.6934,33.31,72,100,23.31,light snow
260,Beyneu,KZ,45.3167,55.2,62.38,40,58,12.57,broken clouds
261,Alyangula,AU,-13.8483,136.4192,87.67,66,40,2.3,scattered clouds
262,Zabid,YE,14.1951,43.3152,83.55,56,0,9.8,clear sky
263,Adrar,MR,20.5022,-10.0711,70.02,22,0,9.64,clear sky
264,Mirebalais,HT,18.8333,-72.1053,73.78,80,79,3.69,broken clouds
265,Gizo,SB,-8.103,156.8419,84.78,70,98,5.01,overcast clouds
266,Mayya,RU,61.7333,130.2811,36.72,72,95,8.41,overcast clouds
267,Panzos,GT,15.4,-89.6667,72.61,98,98,0.92,overcast clouds
268,San Quintin,MX,30.4833,-115.95,60.03,77,0,11.9,clear sky
269,Sao Filipe,CV,14.8961,-24.4956,71.38,70,5,8.77,clear sky
270,Chuy,UY,-33.6971,-53.4616,57.4,90,0,5.06,clear sky
271,Kinablangan,PH,7.6947,126.5503,82.9,71,97,3.22,overcast clouds
272,Warwick,US,41.7001,-71.4162,48.33,50,20,23.02,few clouds
273,Porto Belo,BR,-27.1578,-48.5531,75.15,94,13,6.53,few clouds
274,Yarada,IN,17.65,83.2667,84.52,84,20,5.75,few clouds
275,Constitucion,CL,-35.3333,-72.4167,51.06,85,47,3.15,scattered clouds
276,Umm Kaddadah,SD,13.6017,26.6876,82.29,10,15,9.44,few clouds
277,La Asuncion,VE,11.0333,-63.8628,76.51,89,85,5.39,overcast clouds
278,Chimbote,PE,-9.0853,-78.5783,66.0,88,97,7.09,overcast clouds
279,Benguela,AO,-12.5763,13.4055,75.43,81,15,3.8,few clouds
280,San Clemente,US,33.427,-117.612,64.85,80,47,10.0,scattered clouds
281,Lavrentiya,RU,65.5833,-171.0,28.51,81,6,4.12,clear sky
282,Jalingo,NG,8.8833,11.3667,76.46,78,100,3.06,overcast clouds
283,Muyezerskiy,RU,63.9333,31.65,18.79,92,47,5.03,scattered clouds
284,Sitka,US,57.0531,-135.33,48.09,61,100,11.5,overcast clouds
285,Khilok,RU,51.3674,110.4676,38.08,34,31,14.25,scattered clouds
286,Maunabo,PR,18.0072,-65.8993,76.84,78,0,10.25,clear sky
287,Beringovskiy,RU,63.05,179.3167,32.0,99,100,6.53,light snow
288,San Cristobal,VE,7.7669,-72.225,71.78,97,89,1.28,overcast clouds
289,Acarau,BR,-2.8856,-40.12,77.29,87,98,8.25,overcast clouds
290,Monrovia,LR,6.3005,-10.7969,79.72,82,41,3.62,scattered clouds
291,Katsuura,JP,35.1333,140.3,61.05,62,100,18.43,overcast clouds
292,Mongu,ZM,-15.2484,23.1274,64.09,79,8,6.62,clear sky
293,Sungaipenuh,ID,-2.0833,101.3833,72.79,81,100,2.82,overcast clouds
294,Atasu,KZ,48.6814,71.6433,57.97,40,25,4.54,scattered clouds
295,Maniitsoq,GL,65.4167,-52.9,29.01,97,100,1.74,snow
296,Koungou,YT,-12.7336,45.2042,82.11,78,75,14.97,light rain
297,Alexandria,EG,31.2156,29.9553,62.71,69,0,3.74,clear sky
298,Matagami,CA,49.7502,-77.6328,24.91,54,0,11.5,clear sky
299,Belmonte,BR,-15.8631,-38.8828,75.79,86,4,6.64,clear sky
300,Kvarkeno,RU,52.0833,59.725,54.99,57,86,12.82,overcast clouds
301,Samarai,PG,-10.6167,150.6667,83.86,73,12,4.65,few clouds
302,Chalus,IR,36.655,51.4204,60.26,94,75,2.3,light intensity shower rain
303,Hamilton,US,39.1834,-84.5333,56.25,59,100,8.05,overcast clouds
304,Elizabeth City,US,36.2946,-76.2511,56.01,77,0,8.05,clear sky
305,Keetmanshoop,NA,-26.5833,18.1333,66.85,35,11,5.14,few clouds
306,Fortuna,US,40.5982,-124.1573,52.86,75,100,5.99,overcast clouds
307,Eureka,US,40.8021,-124.1637,54.68,76,100,7.0,overcast clouds
308,Kavieng,PG,-2.5744,150.7967,86.27,63,99,11.9,overcast clouds
309,Boende,CD,-0.2167,20.8667,69.49,98,71,0.43,broken clouds
310,Paita,PE,-5.0892,-81.1144,68.79,80,48,14.16,scattered clouds
