City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Thomasville,US,2022-04-25 20:01:11,35.8826,-80.082,85.06,47,1,3.0
163,San Quintin,MX,2022-04-25 20:01:11,30.4833,-115.95,75.51,30,0,10.56
164,San Andres,CO,2022-04-25 20:01:11,12.5847,-81.7006,81.09,79,38,11.97
165,Riyadh,SA,2022-04-25 19:58:42,24.6877,46.7219,73.54,42,100,21.27
166,Mount Gambier,AU,2022-04-25 19:59:25,-37.8333,140.7667,53.51,87,40,5.75
167,Alamogordo,US,2022-04-25 20:01:13,32.8995,-105.9603,74.21,25,0,5.75
168,Puyo,EC,2022-04-25 20:01:13,-1.4667,-77.9833,75.13,78,60,3.0
169,Portland,US,2022-04-25 19:56:15,45.5234,-122.6762,59.18,79,100,4.61
170,Shache,CN,2022-04-25 20:01:14,38.4167,77.2406,74.71,8,17,16.08
171,Avarua,CK,2022-04-25 20:01:14,-21.2078,-159.775,80.65,83,20,6.91
172,Isangel,VU,2022-04-25 20:01:15,-19.55,169.2667,75.96,73,100,15.68
173,Novyy Urengoy,RU,2022-04-25 20:01:15,66.0833,76.6333,3.99,98,93,7.2
174,Geraldton,AU,2022-04-25 20:01:16,-28.7667,114.6,70.21,64,75,14.97
175,Miami,US,2022-04-25 19:59:30,25.7743,-80.1937,86.0,65,7,5.99
176,Oktyabrskoye,RU,2022-04-25 20:01:17,43.0645,44.7417,55.54,76,3,2.24
177,Hambantota,LK,2022-04-25 20:01:17,6.1241,81.1185,80.2,82,10,2.55
178,Nara,JP,2022-04-25 20:00:08,34.6851,135.8049,65.5,76,95,4.0
179,Provideniya,RU,2022-04-25 20:01:18,64.3833,-173.3,24.64,82,87,13.58
180,Truro,GB,2022-04-25 20:00:01,50.2653,-5.0544,52.88,62,22,5.75
181,Claremore,US,2022-04-25 20:01:19,36.3126,-95.6161,66.11,43,0,6.91
182,Paramonga,PE,2022-04-25 20:01:19,-10.6667,-77.8333,70.93,77,95,9.95
183,Port Hardy,CA,2022-04-25 20:01:20,50.6996,-127.4199,46.67,77,100,9.08
184,Vanimo,PG,2022-04-25 20:01:20,-2.6741,141.3028,76.93,91,97,5.08
185,Sao Filipe,CV,2022-04-25 20:01:21,14.8961,-24.4956,76.64,64,4,11.03
